SerCon 'Callisto CF-IRMS' system
10:07:04	08-12-2016

Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn
Un-Drift Corrected
N	Name	Weight/Vol	Beam Area	N (Sam)	15N (Sam)	None (Sam)	Beam Area	C (Sam)	13C (Sam)	18O (Sam)	
 	 	 	 	 ug	DeltaAir	 	 	 ug	DeltaPDB	DeltaPDB	 
 57 	SEAL2	 1.1 	 2.67793127228799E-07 	 157.14310870846 	 17.1104540541528 	 0 	 4.61534735540781E-07 	 427.411684194243 	-13.4190712072967 	-45.7907145048433 	
 58 	TBR244	 0.65 	 3.49209217653801E-08 	 20.493559283443 	 0.592325913088311 	 0 	 4.35993696035197E-07 	 403.754977060296 	-23.1211944340464 	-47.0474771148575 	
 59 	TBR250	 0.68 	 3.5907733928614E-08 	 21.0731552981667 	 0.893153918177943 	 0 	 4.5149478644646E-07 	 418.10981504096 	-23.3466051236276 	-48.0941937388067 	
 60 	ESS110	 1.08 	 2.20603465911351E-07 	 129.458789878332 	 5.3158143803513 	 0 	 3.98322077876934E-07 	 368.869368796131 	-21.9142361974351 	-46.7331343433585 	
 61 	TM02	 0.63 	 3.39120831138739E-08 	 19.9022029340091 	-0.34812806311822 	 0 	 4.08571646515199E-07 	 378.360179474871 	-24.0946981374986 	-46.8650834687712 	
 62 	ESS106	 0.97 	 2.43454685133759E-07 	 142.869284914678 	 4.84374909361282 	 0 	 4.32096756597389E-07 	 400.146885360155 	-21.3312830624476 	-46.3835965320575 	
 63 	SALANINE	 1.03 	 2.56918705948683E-07 	 150.767598171319 	-1.44508623941302 	 0 	 4.20581891646954E-07 	 389.481034787935 	-27.1989392986737 	-45.7348332591929 	
 64 	ALANINE	 1.13 	 2.8291950959769E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.61248777838819E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 65 	TBR237	 0.62 	 2.80805148317881E-08 	 17.6100749401833 	-1.53448857133426 	 0 	 3.78732645023305E-07 	 374.851555558099 	-22.8492117106236 	-48.2764434184057 	
 66 	SEAL2	 1.04 	 2.46251873031733E-07 	 154.423683667016 	 16.9438457969823 	 0 	 4.26393214958409E-07 	 422.027841132356 	-13.4984916487695 	-47.8587212170594 	
 67 	SALANINE	 1.05 	 2.76928378700747E-07 	 173.655255426526 	-1.48423439259709 	 0 	 4.51913480969957E-07 	 447.280381683145 	-27.1230994827708 	-47.4286933096016 	
 68 	ALANINE	 1.02 	 2.68709854672755E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.40146002311792E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 68 	END	
Drift Corrected
N	Name	Weight/Vol	Beam Area	N (Sam)	15N (Sam)	None (Sam)	Beam Area	C (Sam)	13C (Sam)	18O (Sam)	
 	 	 	 	ug	DeltaAir	 	 	ug	DeltaPDB	DeltaPDB	 
 1 	ALANINE	 1.02 	 2.55775529811597E-07 	 151.12708731235 	-1.33399547864543 	 0 	 4.14907886048255E-07 	 383.746677838282 	-27.2372154786166 	-51.7797337766308 	
 2 	ALANINE	 1.08 	 2.87364497336684E-07 	 169.559993082657 	-1.56001661948008 	 0 	 4.72401921802756E-07 	 436.320027799368 	-27.1102450909173 	-47.4063835793421 	
 3 	ALANINE	 1.03 	 2.68480320614328E-07 	 158.207768275563 	-1.22568345953119 	 0 	 4.39760759363139E-07 	 405.613038315332 	-27.1518632360567 	-52.9161650703008 	
 4 	ALANINE	 1.07 	 2.85192219950936E-07 	 167.834871123843 	-1.17307063306584 	 0 	 4.65681949224361E-07 	 428.930888991048 	-27.0756078120985 	-53.1304880012928 	
 5 	ALANINE	 1.1 	 2.8919327882404E-07 	 169.969233642524 	-1.16961743435095 	 0 	 4.72624936076471E-07 	 434.728131225935 	-27.1027269780956 	-52.0585980977279 	
 6 	ALANINE	 1.08 	 2.90635683825036E-07 	 170.596343525806 	-1.19475467735543 	 0 	 4.75576936720401E-07 	 436.843518702771 	-27.047178690104 	-50.4328486224903 	
 7 	ALANINE	 1.15 	 2.43806400285554E-09 	 1.4296807644978 	-1.51559587629513 	 0 	 6.81877942781614E-12 	 6.26050692273974E-03 	 1035.19571918112 	 3331.23260274302 	
 8 	ALANINE	 1.1 	 2.94960402075217E-07 	 172.699990798719 	-1.56001661948008 	 0 	 4.85130360328156E-07 	 444.400007833698 	-27.1102450909173 	-47.4063835793421 	
 9 	TM05	 0.62 	 4.08923613512413E-08 	 24.0305136369413 	 3.04580708250367 	 0 	 3.60648798714003E-07 	 332.173617111801 	-24.4750273972786 	-46.9026820988022 	
 10 	TBR246	 0.71 	 1.22946391692413E-07 	 72.5095177936153 	 8.8638896922429 	 0 	 4.10222441793451E-07 	 379.907425002445 	-22.6225549065666 	-48.1108880185123 	
 11 	USGS40	 1 	 1.65614177483064E-07 	 98.0241681715423 	-4.54673984289108 	 0 	 4.4907704777053E-07 	 418.184019051826 	-26.2702065646815 	-47.5088736205753 	
 12 	TBR245	 0.71 	 1.14035130352463E-07 	 67.7432618550354 	 9.01266193281516 	 0 	 4.1716590259977E-07 	 390.625018955011 	-22.9690966618942 	-47.9490751414366 	
 13 	TBR240	 0.71 	 4.69230116914576E-08 	 27.9772596874311 	 3.69890776731889 	 0 	 4.28730930646104E-07 	 403.694229869679 	-23.2716590502732 	-49.1931776286463 	
 14 	ESS109	 1.15 	 2.56894722605594E-07 	 153.721847681366 	 4.70356165260218 	 0 	 4.58562371075111E-07 	 434.207104048497 	-21.5316752174317 	-47.9793549515898 	
 15 	SALANINE	 0.98 	 2.55941477539379E-07 	 153.710843124755 	-1.57162983306684 	 0 	 4.18018613612681E-07 	 398.047756556881 	-27.3240258316919 	-47.3623382789135 	
 16 	ALANINE	 1.09 	 2.83902134551317E-07 	 171.129999216646 	-1.56001661948008 	 0 	 4.59844101463602E-07 	 440.360017816533 	-27.1102450909173 	-47.4063835793421 	
